com_distance_a	min_atom_distance_a	dmff_electro	openmm_electro	diff_electro	dmff_dispersion	openmm_dispersion	diff_dispersion	dmff_slater	openmm_slater	diff_slater	dmff_nonbonded	openmm_nonbonded	diff_nonbonded
5.0	1.7377496942885646	-60.65918276086566	-58.047172677443925	2.612010083421737	-465.80967411244194	-465.80970076005747	-2.6647615527508606e-05	852.9076148191548	852.9076145335183	-2.8563647447299445e-07	326.4387579458472	329.05074109601685	2.6119831501696353
5.217391	1.8701516053200071	-45.09541631998509	-44.144443580544106	0.950972739440985	-216.51511554170835	-216.515142179965	-2.6638256656497106e-05	420.0363770192089	420.03637687663974	-1.4256914937504916e-07	158.42584515751543	159.37679111613062	0.9509459586151934
5.434783	2.0173449375575316	-35.77243840285264	-35.31812324110054	0.4543151617521062	-108.78758735631595	-108.78761398512448	-2.662880852710714e-05	210.0627097124414	210.06270964299242	-6.944898700567137e-08	65.50268395327281	65.95697241676741	0.4542884634946063
5.652174	2.1763293515173663	-29.473250174005898	-29.22249009065277	0.2507600833531285	-58.42001056486147	-58.42003718423667	-2.661937519832236e-05	105.40686218385761	105.40686215072678	-3.313083141165407e-08	17.513601444990258	17.76433487583735	0.25073343084709165
5.869565	2.3447080818782107	-24.92446475397054	-24.780664578958664	0.1438001750118758	-33.38264109064527	-33.382667700764365	-2.6610119093106732e-05	53.04974786661064	53.04974785098835	-1.5622283910943224e-08	-5.2573579780051745	-5.113584428734669	0.1437735492705059
6.086957	2.520600003937356	-21.408735852836458	-21.331607851689014	0.07712800114744311	-19.943815496915228	-19.94384209784919	-2.6600933960452267e-05	26.357313062467583	26.357313055269135	-7.198448059853035e-09	-14.995238287284103	-14.918136894269082	0.07710139301502039
6.304348	2.702537094121744	-18.628566601428446	-18.59208448332879	0.036482118099655736	-12.448261367398759	-12.448287959361956	-2.6591963196764823e-05	12.99271495554592	12.992714952275039	-3.270880455374936e-09	-18.084113013281296	-18.047657490415716	0.03645552286558029
6.521739	2.889378272937104	-16.38984032778812	-16.380308348846867	0.009531978941254238	-8.104893753180411	-8.104920336509297	-2.6583328885720903e-05	6.394351702586319	6.394351701106569	-1.4797505443198133e-09	-18.100382378382214	-18.090876984249604	0.009505394132609979
6.73913	3.0802312505557112	-14.518610847432413	-14.52711869532817	-0.008507847895756981	-5.4355525910295475	-5.435579165929678	-2.6574900130249546e-05	3.1013914532072167	3.101391452549253	-6.579634614922725e-10	-16.852771985254755	-16.8613064087086	-0.008534423453845363
6.956522	3.2743955009259347	-12.947212270924197	-12.96745625832503	-0.020243987400831998	-3.754991271523653	-3.755017838296061	-2.6566772408198602e-05	1.4927650698916803	1.492765069601566	-2.90114376966244e-10	-15.209438472556165	-15.229709027019531	-0.020270554463365897
7.173913	3.471313796182794	-11.623106900793815	-11.650710577846382	-0.027603677052567832	-2.670626497780423	-2.6706530567979074	-2.6559017484384384e-05	0.7182605614961826	0.7182605613682345	-1.2794809656213602e-10	-13.575472837078046	-13.60310307327606	-0.027630236198014302
7.391304	3.6705436573368804	-10.475465282188352	-10.50753754627388	-0.03207226408552799	-1.9372404335428484	-1.9372669850257032	-2.655148285479747e-05	0.3410233328898482	0.3410233328341738	-5.5674409527028956e-11	-12.07168238284136	-12.103781198465413	-0.032098815624053145
7.608696	3.87172918738075	-9.482486582517126	-9.516989229554184	-0.03450264703705841	-1.434111482236925	-1.4341380264633161	-2.6544226391145287e-05	0.16094018397304982	0.16094018394894888	-2.4100943463167823e-11	-10.755657880780994	-10.790187072068562	-0.03452919128756804
7.826087	4.074578995622615	-8.617249466038743	-8.65279352978746	-0.035544063748716326	-1.08097529338623	-1.0810018306178475	-2.6537231617496104e-05	0.07553541117686721	0.0755354111664785	-1.0388717663900593e-11	-9.622689348248095	-9.65825994923884	-0.03557060099074505
8.043478	4.278857181127223	-7.8652102602279825	-7.900859664684674	-0.035649404456691514	-0.8299622275633836	-0.8299887581084899	-2.6530545106373538e-05	0.03552197810602135	0.035521978101527185	-4.494161987000922e-12	-8.659650509685342	-8.695326444691645	-0.03567593500630295
8.26087	4.484369493797318	-7.1957940234533595	-7.230926208066791	-0.03513218461343115	-0.6448407186117555	-0.6448672426419361	-2.6524030180552494e-05	0.01651311957291332	0.016513119570989332	-1.9239887460997807e-12	-7.8241216224922	-7.8592803311377395	-0.035158708645539605
8.478261	4.690951967790866	-6.602885835657872	-6.637092624462085	-0.03420678880421235	-0.5075200640755616	-0.5075465818117917	-2.651773623008058e-05	0.007644470569214176	0.007644470568391681	-8.224948500057394e-13	-7.102761429164211	-7.1369947357054855	-0.034233306541274544
8.695652	4.898470033092375	-6.0800126973708615	-6.113050202792365	-0.033037505421503965	-0.4049432112238424	-0.4049697229261705	-2.6511702328091413e-05	0.003550609696599802	0.003550609696247098	-3.527039771356044e-13	-6.481405298898089	-6.514469316022293	-0.033064017124203815
8.913043	5.106809636147505	-5.6084558987219	-5.640164088293275	-0.031708189571375556	-0.325823480714195	-0.3258499865126149	-2.6505798419895754e-05	0.001631817900166678	0.0016318179000166522	-1.5002582509637818e-13	-5.932647561535937	-5.964382256905878	-0.031734695369941335
9.130435	5.315875148009499	-5.185768453933122	-5.216070910727893	-0.030302456794771615	-0.2646848733568643	-0.26471137341806295	-2.6500061198642122e-05	0.0007475849109071925	0.000747584910843313	-6.387945727936994e-14	-5.449705742379081	-5.480034699235119	-0.030328956856038758
9.347826	5.525582359016649	-4.808918778038702	-4.837802939193708	-0.028884161155005472	-0.2172923934401078	-0.21731888796098248	-2.649452087466475e-05	0.0003439649577444692	0.0003439649577164361	-2.8033131371785203e-14	-5.025867206521063	-5.054777862196985	-0.028910655675922214
9.565217	5.735861741455159	-4.465616438009178	-4.493077720691787	-0.027461282682608612	-0.17948243027763827	-0.1795089193329501	-2.64890553118291e-05	0.0001567091976432955	0.00015670919763144386	-1.1851630787873546e-14	-4.644942159089176	-4.672429930827107	-0.027487771737931155
9.782609	5.946653568762939	-4.154992142339907	-4.181062083472355	-0.026069941132448093	-0.14934383559264414	-0.14937031928963762	-2.6483696993484518e-05	7.122183619542172e-05	7.122183619118205e-05	-4.2396641752873165e-15	-4.304264756096359	-4.33036118092582	-0.026096424829461284
