batch,point,shift,sapt_es,sapt_pol,sapt_disp,sapt_espol,sapt_total,dmff_ADMPPmeForce,phyneo_ADMPPmeForce,delta_ADMPPmeForce,dmff_QqTtDampingForce,phyneo_QqTtDampingForce,delta_QqTtDampingForce,dmff_SlaterExForce,phyneo_SlaterExForce,delta_SlaterExForce,dmff_SlaterSrEsForce,phyneo_SlaterSrEsForce,delta_SlaterSrEsForce,dmff_SlaterSrPolForce,phyneo_SlaterSrPolForce,delta_SlaterSrPolForce,dmff_SlaterSrDispForce,phyneo_SlaterSrDispForce,delta_SlaterSrDispForce,dmff_SlaterDhfForce,phyneo_SlaterDhfForce,delta_SlaterDhfForce,dmff_DampedDispersionForce,phyneo_DampedDispersionForce,delta_DampedDispersionForce,dmff_ShortRangeTotal,phyneo_ShortRangeTotal,delta_ShortRangeTotal,dmff_PhyNEOTotalComparable,phyneo_PhyNEOTotalComparable,delta_PhyNEOTotalComparable,dmff_ADMPDispPmeForce,dmff_SlaterDampingForce,dmff_espol,phyneo_espol,delta_espol,dmff_disp_total,phyneo_disp_total,delta_disp_total
000,0,-0.5,-205.89955139160156,-114.17018127441406,-7.6132941246032715,-320.0697326660156,-327.6830267906189,-368.25957366404515,-365.42026109562187,2.8393125684232814,6.089967165308934,6.089967165308902,-3.197442310920451e-14,192.73242317743123,197.0718608798832,4.33943770245196,-2.2474192359631225e-32,0.0,2.2474192359631225e-32,-8.056018137637401e-35,-8.056018137637366e-35,3.528049417321698e-49,-19.208100929469314,-19.208100929469236,7.815970093361102e-14,-1.185305048692303e-32,0.0,1.185305048692303e-32,-1.296513328951538,-1.2965133289515456,-7.549516567451064e-15,179.61428941327085,183.95372711572287,4.339437702452017,-189.94179757972586,-182.76304730885056,7.178750270875298,-9.16980730415491,7.873293975203372,-362.16960649873624,-359.33029393031296,2.8393125684232814,-20.50461425842085,-20.50461425842078,7.105427357601002e-14
000,1,-0.291667,-174.1016845703125,-90.44435119628906,-3.7689528465270996,-264.54603576660156,-268.31498861312866,-277.8670192697804,-276.5280226093165,1.3389966604639199,2.4453457702866217,2.445345770286618,-3.552713678800501e-15,96.73918797385083,97.67414632254128,0.9349583486904436,-1.1287341600866234e-32,0.0,1.1287341600866234e-32,-3.071625976641809e-35,-3.0716259766417817e-35,2.7262200042940396e-49,-9.65380573725793,-9.653805737257917,1.2434497875801753e-14,-5.95560133608789e-33,0.0,5.95560133608789e-33,-0.9359026865852385,-0.9359026865852398,-1.3322676295501878e-15,89.53072800687953,90.46568635556999,0.9349583486904578,-189.2721939494861,-186.99823894033176,2.2739550091543492,-3.606455012116612,2.6705523255313737,-275.4216734994938,-274.0826768390299,1.3389966604639199,-10.589708423843168,-10.589708423843156,1.2434497875801753e-14
000,2,-0.083333,-149.56539916992188,-70.90348052978516,-1.95095956325531,-220.46887969970703,-222.41983926296234,-220.04598618623436,-219.27575812035795,0.7702280658764096,0.9811573499058746,0.9811573499058749,3.3306690738754696e-16,47.48456609555367,47.723175399173634,0.2386093036199668,-5.54280080378741e-33,0.0,5.54280080378741e-33,-1.1623128861062513e-35,-1.162312886106241e-35,1.0290144133854953e-49,-4.743072108693921,-4.743072108693921,0.0,-2.925497626066693e-33,0.0,2.925497626066693e-33,-0.6486118586767268,-0.6486118586767258,9.992007221626409e-16,43.72265133676562,43.96126064038559,0.2386093036199668,-176.97194670814548,-175.96310933864908,1.0088373694964048,-1.622643606838897,0.9740317481621702,-219.06482883632847,-218.29460077045206,0.7702280658764096,-5.391683967370648,-5.391683967370647,8.881784197001252e-16
000,3,0.125,-130.1510009765625,-55.088802337646484,-1.0526158809661865,-185.23980331420898,-186.29241919517517,-180.34340512283427,-179.8281265635784,0.5152785592558757,0.3934976343802182,0.39349763438021895,7.771561172376096e-16,22.883724121624105,22.95355612563083,0.06983200400672374,-2.6720323478606844e-33,0.0,2.6720323478606844e-33,-4.370473792433258e-36,-4.37047379243323e-36,2.7395838278445005e-50,-2.2873838059065066,-2.28738380590651,-3.552713678800501e-15,-1.4106317115641748e-33,0.0,1.4106317115641748e-33,-0.43878813201406885,-0.4387881320140692,-3.3306690738754696e-16,20.989837950097815,21.059669954104535,0.06983200400672018,-159.79235530475054,-159.20724474148795,0.5851105632625888,-0.809869496578587,0.3710813645645181,-179.94990748845404,-179.43462892919817,0.5152785592558757,-2.7261719379205753,-2.7261719379205793,-3.9968028886505635e-15
000,4,0.333333,-114.45950317382812,-42.725830078125,-0.5893696546554565,-157.18533325195312,-157.77470290660858,-151.59291010827116,-151.20652081280514,0.3863892954660173,0.15776741521440618,0.1577674152144059,-2.7755575615628914e-16,10.859909794641231,10.882788012862841,0.02287821822161007,-1.2683664232853347e-33,0.0,1.2683664232853347e-33,-1.634816373731546e-36,-1.6348163737315414e-36,4.6773382426613424e-51,-1.0860979094011385,-1.0860979094011367,1.7763568394002505e-15,-6.6972023692835265e-34,0.0,6.6972023692835265e-34,-0.29348921028196534,-0.29348921028196534,0.0,9.9315793004545,9.954457518676112,0.022878218221611846,-141.95482001809862,-141.54555250441098,0.40926751368763803,-0.4386189791155736,0.14512976883360829,-151.43514269305675,-151.04875339759073,0.3863892954660173,-1.3795871196831038,-1.379587119683102,1.7763568394002505e-15
000,5,0.75,-90.8066635131836,-26.076486587524414,-0.20579814910888672,-116.88315010070801,-117.0889482498169,-113.0187718589483,-112.7443137870783,0.2744580718700007,0.025347253702673017,0.02534725370267284,-1.7694179454963432e-16,2.3563211818389496,2.359535451602297,0.003214269763347488,-2.7529082249316377e-34,0.0,2.7529082249316377e-34,-2.260787939607827e-37,-2.26078793960781e-37,1.6704779438076223e-51,-0.23582550349723022,-0.23582550349722875,1.4710455076283324e-15,-1.4539356200947682e-34,0.0,1.4539356200947682e-34,-0.13164354062028133,-0.13164354062028094,3.885780586188048e-16,2.1458429320443924,2.149057201807741,0.0032142697633488204,-111.00457246752418,-110.72690012589084,0.2776723416333482,-0.15478034587526165,0.02313680525498032,-112.99342460524562,-112.71896653337562,0.2744580718700007,-0.3674690441175116,-0.3674690441175097,1.887379141862766e-15
000,6,1.166667,-74.02324676513672,-16.500192642211914,-0.0834178626537323,-90.52343940734863,-90.60685727000237,-88.52832361716675,-88.29307889713674,0.2352447200300105,0.0040707122183855,0.004070712218385492,-8.673617379884035e-18,0.49164503407209553,0.49224144161955596,0.0005964075474604313,-5.745021290502193e-35,0.0,5.745021290502193e-35,-3.096206847406774e-38,-3.096206847406786e-38,-1.2006560221117285e-52,-0.049226636623966244,-0.04922663662396616,8.326672684688674e-17,-3.0346574146048453e-35,0.0,3.0346574146048453e-35,-0.0616138068815109,-0.06161380688151086,4.163336342344337e-17,0.4464891096665148,0.4470855172139753,0.0005964075474605424,-88.14344831438174,-87.90760718680427,0.23584112757747278,-0.06539461553450507,0.0037808086529941666,-88.52425290494837,-88.28900818491836,0.2352447200300105,-0.11084044350547714,-0.11084044350547702,1.249000902703301e-16
000,7,1.583333,-61.62551498413086,-10.90255355834961,-0.03894251957535744,-72.52806854248047,-72.56701106205583,-71.72771270097954,-71.50537004171935,0.22234265926019248,0.0006536062598004679,0.0006536062598004657,-2.168404344971009e-18,0.09953032979363229,0.09966704590088643,0.00013671610725414507,-1.163177575680833e-35,0.0,1.163177575680833e-35,-4.22704137868086e-39,-4.22704137868087e-39,-9.787956701997787e-54,-0.009968412347169105,-0.009968412347169074,3.122502256758253e-17,-6.144766080272801e-36,0.0,6.144766080272801e-36,-0.03079390384032596,-0.03079390384032593,2.7755575615628914e-17,0.09021552370626365,0.09035223981351781,0.00013671610725415895,-71.6682910811136,-71.44581170574615,0.2224793753674419,-0.031416924027223576,0.0006230201868976178,-71.72705909471973,-71.50471643545954,0.22234265926019248,-0.04076231618749507,-0.040762316187495005,6.245004513516506e-17
000,8,2.0,-52.17821502685547,-7.511313438415527,-0.020218798890709877,-59.689528465270996,-59.709747264161706,-59.56672001984339,-59.34571084859792,0.22100917124546982,0.00010493165167941279,0.00010493165167941242,-3.6591823321385775e-19,0.019671460950931394,0.019708461924810322,3.700097387892773e-05,-2.2991040436660005e-36,0.0,2.2991040436660005e-36,-5.7887599677266465e-40,-5.788759967727761e-40,-1.114195737910748e-52,-0.0019705476585371476,-0.00197054765853714,7.37257477290143e-18,-1.2146333852470168e-36,0.0,1.2146333852470168e-36,-0.016504925586376187,-0.016504925586376173,1.3877787807814457e-17,0.01780584494407366,0.017842845917952592,3.70009738789312e-05,-59.56541910048569,-59.34437292826634,0.22104617221935285,-0.01660778090632439,0.00010285531994820178,-59.56661508819171,-59.34560591694624,0.22100917124546982,-0.018475473244913335,-0.018475473244913315,2.0816681711721685e-17
000,9,2.625,-41.6986198425293,-4.592965602874756,-0.008581070229411125,-46.29158544540405,-46.300166515633464,-46.64687788323942,-46.41781333306737,0.22906455017204763,6.7489872451106186e-06,6.7489872451105694e-06,-4.912791094074942e-20,0.001668142230116097,0.001674786485785229,6.64425566913201e-06,-1.949762500587888e-37,0.0,1.949762500587888e-37,-2.988666520085043e-41,-2.9886665200741445e-41,1.089827804038066e-52,-0.00016713101541219902,-0.0001671310154121976,1.4094628242311558e-18,-1.030134267818553e-37,0.0,1.030134267818553e-37,-0.00728386316860469,-0.007283863168604632,5.811323644522304e-17,0.0015077602019490086,0.001514404457618142,6.644255669133311e-06,-46.652653986206076,-46.42358279177836,0.22907119442771773,-0.0072907504416440715,6.887273039381734e-06,-46.64687113425217,-46.417806584080125,0.22906455017204763,-0.007450994184016889,-0.007450994184016829,5.984795992119984e-17
000,10,3.25,-34.14650344848633,-2.992155075073242,-0.00409136014059186,-37.13865852355957,-37.14274988370016,-37.667192539782846,-37.42422807458722,0.24296446519562664,4.3404371886572075e-07,4.3404371886571593e-07,-4.817499887508833e-21,0.00013679555006681563,0.00013829294781794732,1.4973977511316893e-06,-1.59894631093349e-38,0.0,1.59894631093349e-38,-1.6012848772919402e-42,-1.6012848772750525e-42,1.6887730113150674e-53,-1.3706887706399745e-05,-1.3706887706399322e-05,4.2351647362715017e-19,-8.448142409249758e-39,0.0,8.448142409249758e-39,-0.003601569926965461,-0.00360156992696542,4.119968255444917e-17,0.0001235227060792816,0.00012502010383041371,1.497397751132123e-06,-37.670670587003734,-37.42770462441035,0.24296596259338088,-0.0036020291144911606,4.591875256992065e-07,-37.667192105739126,-37.4242276405435,0.24296446519562664,-0.003615276814671861,-0.0036152768146718193,4.163336342344337e-17
000,11,3.875,-28.508947372436523,-2.0447041988372803,-0.002157259965315461,-30.553651571273804,-30.55580883123912,-31.13005538278129,-30.870192793342355,0.25986258943893503,2.7913180129633252e-08,2.7913180129622442e-08,-1.0809596244842966e-20,1.092678885667991e-05,1.1329307744695205e-05,4.025188880152956e-07,-1.2772060709741475e-39,0.0,1.2772060709741475e-39,-8.997553551159868e-44,-8.997553558563125e-44,-7.403257420223619e-53,-1.0949292676782026e-06,-1.0949292676785266e-06,-3.239901023247699e-19,-6.748356760205319e-40,0.0,6.748356760205319e-40,-0.0019424996304506052,-0.001942499630450678,-7.28583859910259e-17,9.859772769131339e-06,1.0262291657146301e-05,4.0251888801496185e-07,-31.13198802263897,-30.87212503068115,0.2598629919578208,-0.0019425301045552016,3.047410459642673e-08,-31.13005535486811,-30.870192765429174,0.25986258943893503,-0.0019435945597182835,-0.0019435945597183566,-7.3075226425523e-17
