batch,point,shift,sapt_es,sapt_pol,sapt_disp,sapt_espol,sapt_total,dmff_ADMPPmeForce,phyneo_ADMPPmeForce,delta_ADMPPmeForce,dmff_QqTtDampingForce,phyneo_QqTtDampingForce,delta_QqTtDampingForce,dmff_SlaterExForce,phyneo_SlaterExForce,delta_SlaterExForce,dmff_SlaterSrEsForce,phyneo_SlaterSrEsForce,delta_SlaterSrEsForce,dmff_SlaterSrPolForce,phyneo_SlaterSrPolForce,delta_SlaterSrPolForce,dmff_SlaterSrDispForce,phyneo_SlaterSrDispForce,delta_SlaterSrDispForce,dmff_SlaterDhfForce,phyneo_SlaterDhfForce,delta_SlaterDhfForce,dmff_DampedDispersionForce,phyneo_DampedDispersionForce,delta_DampedDispersionForce,dmff_ShortRangeTotal,phyneo_ShortRangeTotal,delta_ShortRangeTotal,dmff_PhyNEOTotalComparable,phyneo_PhyNEOTotalComparable,delta_PhyNEOTotalComparable,dmff_ADMPDispPmeForce,dmff_SlaterDampingForce,dmff_espol,phyneo_espol,delta_espol,dmff_disp_total,phyneo_disp_total,delta_disp_total
000,0,-0.7,-220.79483032226562,-148.49087524414062,-15.016669273376465,-369.28570556640625,-384.3023748397827,-603.1255603021165,-591.0733529356121,12.052207366504376,15.421094845506321,15.421094845506262,-5.861977570020827e-14,367.99965112568674,388.9666318974613,20.96698077177456,0.0,0.0,0.0,0.0,0.0,0.0,-35.033441245330835,-35.033441245330735,9.947598300641403e-14,0.0,0.0,0.0,-1.8371625341865112,-1.8371625341865059,5.329070518200751e-15,348.38730472586224,369.35428549763685,20.966980771774615,-256.57541811044075,-223.55622997216176,33.01918813827899,-26.002893558482914,24.165731024296402,-587.7044654566101,-575.6522580901059,12.052207366504263,-36.870603779517346,-36.87060377951724,1.0658141036401503e-13
000,1,-0.4875,-180.75497436523438,-114.556396484375,-7.001968860626221,-295.3113708496094,-302.3133397102356,-399.920979740628,-395.95043663061506,3.9705431100129545,6.008435040257663,6.008435040257642,-2.1316282072803006e-14,185.60596105496143,189.09867237324946,3.4927113182880305,0.0,0.0,0.0,0.0,0.0,0.0,-17.67685754017137,-17.676857540171323,4.618527782440651e-14,0.0,0.0,0.0,-1.4158858003281045,-1.415885800328093,1.1546319456101628e-14,173.93753855504772,177.43024987333578,3.492711318288059,-227.3993269859084,-219.9360725576074,7.463254428301013,-8.659657870223871,7.243772069895766,-393.91254470037035,-389.9420015903574,3.9705431100129545,-19.092743340499474,-19.092743340499418,5.684341886080802e-14
000,2,-0.275,-149.44447326660156,-89.90113830566406,-3.4318411350250244,-239.34561157226562,-242.77745270729065,-286.42882759157413,-284.7440057132983,1.6848218782758408,2.3493994543879704,2.349399454387956,-1.4210854715202004e-14,91.23449068962215,91.96836584510217,0.7338751554800211,0.0,0.0,0.0,0.0,0.0,0.0,-8.691840881041491,-8.691840881041443,4.796163466380676e-14,0.0,0.0,0.0,-1.019823584580339,-1.0198235845803385,4.440892098500626e-16,84.89204926296863,85.62592441844868,0.7338751554800496,-202.5566019131859,-200.13790487942998,2.4186970337559046,-3.4692752617893974,2.4494516772090584,-284.07942813718614,-282.39460625891036,1.684821878275784,-9.71166446562183,-9.711664465621782,4.796163466380676e-14
000,3,-0.0625,-124.9608154296875,-69.79417419433594,-1.7679855823516846,-194.75498962402344,-196.52297520637512,-216.06185208741942,-215.20500206049326,0.8568500269261676,0.9209463853766943,0.9209463853766927,-1.5543122344752192e-15,43.92186580718542,44.10646920073198,0.18460339354655986,0.0,0.0,0.0,0.0,0.0,0.0,-4.1855008820271875,-4.18550088202718,7.105427357601002e-15,0.0,0.0,0.0,-0.7048564474031214,-0.7048564474031211,2.220446049250313e-16,40.65731131053493,40.841914704081496,0.18460339354656696,-176.10939722428762,-175.0679438038149,1.0414534204727204,-1.5932285182199808,0.8883720708168594,-215.14090570204274,-214.28405567511658,0.8568500269261676,-4.890357329430309,-4.8903573294303015,7.105427357601002e-15
000,4,0.15,-105.56625366210938,-53.83900451660156,-0.9573084115982056,-159.40525817871094,-160.36256659030914,-169.10401312259432,-168.60894271373834,0.4950704088559803,0.3616575763115983,0.36165757631159634,-1.942890293094024e-15,20.78447132508183,20.838093396087878,0.05362207100604621,0.0,0.0,0.0,0.0,0.0,0.0,-1.981079648898917,-1.9810796488989078,9.325873406851315e-15,0.0,0.0,0.0,-0.4763579469567449,-0.47635794695674427,6.106226635438361e-16,19.165049252494512,19.218671323500566,0.05362207100605332,-150.41532181705657,-149.86662933719452,0.5486924798620407,-0.8120529665039374,0.33569501954719255,-168.74235554628274,-168.24728513742676,0.4950704088559803,-2.457437595855662,-2.457437595855652,9.769962616701378e-15
000,5,0.575,-77.4099349975586,-32.254981994628906,-0.3170818090438843,-109.6649169921875,-109.98199880123138,-111.75680790446292,-111.54616176827795,0.21064613618496253,0.055982224468055945,0.055982224468055564,-3.8163916471489756e-16,4.4669566798893925,4.473279276692578,0.006322596803185476,0.0,0.0,0.0,0.0,0.0,0.0,-0.42592616363206376,-0.4259261636320615,2.275957200481571e-15,0.0,0.0,0.0,-0.21410105024469783,-0.2141010502446976,2.220446049250313e-16,4.0970127407253845,4.103335337528573,0.006322596803188141,-107.87389621398222,-107.65692748099407,0.21696873298814978,-0.26516911074756266,0.051068060502864845,-111.70082567999486,-111.4901795438099,0.21064613618496253,-0.6400272138767615,-0.6400272138767591,2.4424906541753444e-15
000,6,1.0,-58.575927734375,-19.96554183959961,-0.12258477509021759,-78.54146957397461,-78.66405434906483,-79.0893987132567,-78.98143648601811,0.10796222723858762,0.008694402022085284,0.008694402022085206,-7.806255641895632e-17,0.9200629141822828,0.9211096187148815,0.0010467045325986968,0.0,0.0,0.0,0.0,0.0,0.0,-0.08775600726891222,-0.08775600726891164,5.828670879282072e-16,0.0,0.0,0.0,-0.09934901601789548,-0.09934901601789559,-1.1102230246251565e-16,0.8410013089354559,0.842048013468055,0.0010467045325991409,-78.34774642033913,-78.23873748856795,0.10900893177118576,-0.10741606069530263,0.00806704467740715,-79.08070431123461,-78.97274208399602,0.10796222723858762,-0.1871050232868077,-0.18710502328680723,4.718447854656915e-16
000,7,1.425,-45.51225280761719,-12.914305686950684,-0.05503476783633232,-58.42655849456787,-58.4815932624042,-58.63107958666934,-58.57022988756233,0.06084969910700977,0.0013531939197409608,0.001353193919740956,-4.7704895589362195e-18,0.18347689955631422,0.1837004198215304,0.00022352026521618718,0.0,0.0,0.0,0.0,0.0,0.0,-0.01750538686538659,-0.017505386865386496,9.367506770274758e-17,0.0,0.0,0.0,-0.04915842650314049,-0.04915842650313973,7.632783294297951e-16,0.1673247066106686,0.16754822687588486,0.00022352026521627044,-58.512913306561806,-58.45184008718958,0.06107321937222565,-0.050450207396819394,0.0012917808936788997,-58.629726392749596,-58.568876693642586,0.06084969910700977,-0.06666381336852709,-0.06666381336852623,8.604228440844963e-16
000,8,1.85,-36.15583419799805,-8.729825019836426,-0.02791867032647133,-44.88565921783447,-44.913577888160944,-44.971215110081765,-44.93536940537228,0.035845704709487336,0.000210917331543831,0.00021091733154382855,-2.439454888092385e-18,0.03567165409440977,0.03572981854968482,5.8164455275053206e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034044883871451907,-0.0034044883871450216,1.691355389077387e-16,0.0,0.0,0.0,-0.026138021172365238,-0.026138021172365633,-3.95516952522712e-16,0.03247808303880841,0.032536247494083625,5.81644552752128e-05,-44.96487504821532,-44.928971179050556,0.035903869164762625,-0.026345769413193665,0.0002077482408284264,-44.97100419275022,-44.935158488040734,0.035845704709487336,-0.02954250955951043,-0.029542509559510655,-2.255140518769849e-16
000,9,2.4875,-26.507986068725586,-5.210690021514893,-0.01167123019695282,-31.71867609024048,-31.73034732043743,-31.69021692296037,-31.673892037967583,0.016324884992787503,1.3003075470062346e-05,1.30030754700583e-05,-4.0454293560865384e-18,0.0029467556117611744,0.0029570107444794047,1.0255132718230316e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028139721244014817,-0.0002813972124400266,1.2159327364424932e-16,0.0,0.0,0.0,-0.011444364432819607,-0.011444364432819931,-3.2439329000766293e-16,0.0026783614747910886,0.0026886166075094364,1.0255132718347843e-05,-31.698982925918397,-31.68264778579289,0.01633514012550563,-0.011457772107302006,1.3407674482398897e-05,-31.6902039198849,-31.673879034892114,0.016324884992787503,-0.011725761645259755,-0.011725761645259958,-2.0296264668928643e-16
